season,game_mode,region,milestone,player_name,timestamp,rating
18,0,NA,8000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,9000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,10000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,11000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,12000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,13000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,14000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,15000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,16000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,17000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,18000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,19000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,NA,20000,beterbabbit,2026-08-05 03:38:28.598131+00,20013
18,0,EU,8000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,9000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,10000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,11000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,12000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,13000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,14000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,15000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,16000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,17000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,18000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,EU,19000,леший,2026-08-05 03:38:28.598131+00,19020
18,0,AP,8000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,9000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,10000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,11000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,12000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,13000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,14000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,15000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,16000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,17000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,18000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,0,AP,19000,alutemu,2026-08-05 03:38:28.598131+00,19310
18,1,NA,8000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,9000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,10000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,11000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,12000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,13000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,14000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,15000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,16000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,17000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,18000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,19000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,20000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,21000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,22000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,23000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,24000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,25000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,26000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,27000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,NA,28000,epicman,2026-08-05 03:38:28.598131+00,28566
18,1,EU,8000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,9000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,10000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,11000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,12000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,13000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,14000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,15000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,16000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,17000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,18000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,19000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,20000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,21000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,22000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,23000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,24000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,25000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,EU,26000,explosion,2026-08-05 03:38:28.598131+00,26006
18,1,AP,8000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,9000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,10000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,11000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,12000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,13000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,14000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,15000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,16000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,17000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,18000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,19000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,20000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,1,AP,21000,美甘ネルの機関銃,2026-08-05 03:38:28.598131+00,21694
18,0,CN,8000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,9000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,10000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,11000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,12000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,13000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,14000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,15000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,16000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,17000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,18000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,19000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,0,CN,20000,风的二次救赎,2026-08-05 03:38:28.598131+00,20034
18,1,CN,8000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,9000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,10000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,11000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,12000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,13000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,14000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,15000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,16000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,17000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,18000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,19000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,20000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,21000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,22000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,23000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,24000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,25000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
18,1,CN,26000,樱和抱月永远一起,2026-08-05 03:38:28.598131+00,27754
